participant_id,age,gender,education_level,employment_status,annual_income_usd,region,urban_rural
P0001,58,Male,Master's,Full-time,68544.44,West,Urban
P0002,45,Male,High school,Full-time,69864.27,West,Urban
P0003,30,Female,Bachelor's,Full-time,45132.85,Northeast,Suburban
P0004,28,Female,Some college,Full-time,67573.3,Midwest,Urban
P0005,42,Male,Master's,Part-time,74501.52,West,Urban
P0006,42,Male,Some college,Part-time,28680.55,Midwest,Suburban
P0007,63,Male,Bachelor's,Student,105072.77,Northeast,Urban
P0008,47,Female,Some college,Full-time,57988.9,Southeast,Suburban
P0009,62,Non-binary,Bachelor's,Part-time,78906.42,Southeast,Suburban
P0010,35,Prefer not to say,Bachelor's,Part-time,93280.7,Midwest,Rural
P0011,67,Male,Master's,Student,55378.27,West,Rural
P0012,38,Male,Bachelor's,Unemployed,66737.31,Southwest,Urban
P0013,26,Male,Bachelor's,Full-time,21491.7,Southwest,Urban
P0014,26,Female,High school,Full-time,38185.47,Northeast,Urban
P0015,28,Female,Bachelor's,Full-time,8050.26,West,Urban
P0016,53,Female,High school,Student,111638.98,West,Suburban
P0017,67,Female,High school,Full-time,9730.8,Midwest,Rural
P0018,66,Male,PhD,Unemployed,77641.21,Midwest,Rural
P0019,50,Female,High school,Student,24958.12,West,Rural
P0020,56,Male,High school,Unemployed,52643.16,Midwest,Urban
P0021,33,Female,PhD,Full-time,53699.85,West,Suburban
P0022,26,Female,PhD,Full-time,62732.51,West,Rural
P0023,45,Non-binary,PhD,Student,49177.65,Southwest,Rural
P0024,59,Male,Master's,Full-time,29692.98,Southeast,Urban
P0025,39,Male,Bachelor's,Part-time,96476.84,Northeast,Urban
P0026,20,Female,High school,Full-time,63558.77,Southwest,Urban
P0027,26,Female,Master's,Part-time,63095.23,Southwest,Urban
P0028,24,Female,Some college,Full-time,86875.85,Northeast,Suburban
P0029,59,Male,Bachelor's,Full-time,72738.05,Southeast,Suburban
P0030,26,Male,Some college,Full-time,49294.18,Northeast,Suburban
P0031,72,Female,High school,Retired,91839.42,Southeast,Urban
P0032,49,Female,Master's,Unemployed,12279.78,Southeast,Urban
P0033,42,Male,Master's,Full-time,13085.92,West,Suburban
P0034,49,Male,Some college,Retired,87699.32,West,Suburban
P0035,21,Female,High school,Part-time,18947.35,Southeast,Urban
P0036,50,Male,High school,Part-time,61228.87,Southeast,Suburban
P0037,54,Male,Bachelor's,Part-time,36546.56,West,Urban
P0038,34,Male,Bachelor's,Full-time,76155.0,Southwest,Urban
P0039,59,Male,Some college,Student,83872.87,West,Rural
P0040,22,Female,Bachelor's,Full-time,72722.75,Midwest,Rural
P0041,33,Male,High school,Unemployed,53291.59,West,Urban
P0042,70,Female,PhD,Full-time,33020.46,Southeast,Urban
P0043,24,Female,High school,Full-time,66936.46,Midwest,Suburban
P0044,34,Female,Master's,Full-time,81546.97,Southwest,Rural
P0045,20,Male,Master's,Part-time,59285.26,West,Suburban
P0046,53,Male,High school,Unemployed,98072.03,Southeast,Suburban
P0047,71,Male,Bachelor's,Full-time,82234.4,Northeast,Rural
P0048,31,Female,Bachelor's,Full-time,67443.9,West,Rural
P0049,44,Non-binary,Master's,Unemployed,63090.55,Southeast,Rural
P0050,19,Male,PhD,Student,75056.5,Southwest,Rural
P0051,65,Female,Some college,Student,96720.42,Southwest,Urban
P0052,70,Female,Some college,Student,90030.28,Southeast,Urban
P0053,60,Male,Some college,Unemployed,79415.53,West,Urban
P0054,71,Female,PhD,Full-time,58323.65,Midwest,Urban
P0055,34,Male,Bachelor's,Full-time,67345.46,West,Urban
P0056,54,Male,High school,Full-time,39054.92,West,Rural
P0057,52,Female,PhD,Student,69635.76,Midwest,Suburban
