date,day_of_week,hour_slot,visitor_count,avg_dwell_minutes,conversion_rate_pct,temperature_c,precipitation_mm,is_holiday
2023-01-02,Monday,07:00-09:00,45,19.0,60.6,28.9,3.3,No
2023-01-02,Monday,09:00-11:00,91,12.8,48.2,28.9,3.3,No
2023-01-02,Monday,11:00-13:00,155,16.9,59.4,28.9,3.3,No
2023-01-02,Monday,13:00-15:00,83,23.2,69.8,28.9,3.3,No
2023-01-02,Monday,15:00-17:00,101,10.4,68.1,28.9,3.3,No
2023-01-02,Monday,17:00-19:00,51,18.1,49.0,28.9,3.3,No
2023-01-03,Tuesday,07:00-09:00,30,14.0,56.6,15.9,7.2,No
2023-01-03,Tuesday,09:00-11:00,51,14.8,52.4,15.9,7.2,No
2023-01-03,Tuesday,11:00-13:00,76,14.0,50.8,15.9,7.2,No
2023-01-03,Tuesday,13:00-15:00,41,11.1,75.9,15.9,7.2,No
2023-01-03,Tuesday,15:00-17:00,59,6.8,61.3,15.9,7.2,No
2023-01-03,Tuesday,17:00-19:00,19,14.4,65.7,15.9,7.2,No
2023-01-04,Wednesday,07:00-09:00,25,18.3,71.3,16.4,5.1,No
2023-01-04,Wednesday,09:00-11:00,84,13.4,58.3,16.4,5.1,No
2023-01-04,Wednesday,11:00-13:00,73,12.7,62.1,16.4,5.1,No
2023-01-04,Wednesday,13:00-15:00,70,14.5,57.6,16.4,5.1,No
2023-01-04,Wednesday,15:00-17:00,55,14.6,57.9,16.4,5.1,No
2023-01-04,Wednesday,17:00-19:00,60,14.9,60.8,16.4,5.1,No
2023-01-05,Thursday,07:00-09:00,63,17.0,59.1,14.1,0,No
2023-01-05,Thursday,09:00-11:00,82,9.7,69.6,14.1,0,No
2023-01-05,Thursday,11:00-13:00,101,5.8,58.1,14.1,0,No
2023-01-05,Thursday,13:00-15:00,58,14.4,70.6,14.1,0,No
2023-01-05,Thursday,15:00-17:00,119,14.5,78.1,14.1,0,No
2023-01-05,Thursday,17:00-19:00,47,11.0,79.8,14.1,0,No
2023-01-06,Friday,07:00-09:00,50,12.2,55.5,15.3,0,No
2023-01-06,Friday,09:00-11:00,100,16.2,51.4,15.3,0,No
2023-01-06,Friday,11:00-13:00,119,10.9,74.2,15.3,0,No
2023-01-06,Friday,13:00-15:00,84,7.5,62.7,15.3,0,No
2023-01-06,Friday,15:00-17:00,95,12.4,46.2,15.3,0,No
2023-01-06,Friday,17:00-19:00,68,15.9,64.8,15.3,0,No
2023-01-07,Saturday,07:00-09:00,43,17.1,55.2,14.8,3.5,No
2023-01-07,Saturday,09:00-11:00,106,11.7,49.2,14.8,3.5,No
2023-01-07,Saturday,11:00-13:00,126,12.0,51.3,14.8,3.5,No
2023-01-07,Saturday,13:00-15:00,92,16.7,62.1,14.8,3.5,No
2023-01-07,Saturday,15:00-17:00,91,18.9,66.7,14.8,3.5,No
2023-01-07,Saturday,17:00-19:00,72,12.4,48.7,14.8,3.5,No
2023-01-08,Sunday,07:00-09:00,54,11.7,70.1,12.5,0.3,No
2023-01-08,Sunday,09:00-11:00,116,15.5,58.9,12.5,0.3,No
2023-01-08,Sunday,11:00-13:00,162,18.8,59.0,12.5,0.3,No
2023-01-08,Sunday,13:00-15:00,104,17.3,65.9,12.5,0.3,No
2023-01-08,Sunday,15:00-17:00,98,16.4,67.3,12.5,0.3,No
2023-01-08,Sunday,17:00-19:00,64,14.9,62.2,12.5,0.3,No
2023-01-09,Monday,07:00-09:00,43,15.7,55.9,4.7,0.0,No
2023-01-09,Monday,09:00-11:00,88,14.8,59.9,4.7,0.0,No
2023-01-09,Monday,11:00-13:00,84,10.3,73.9,4.7,0.0,No
2023-01-09,Monday,13:00-15:00,91,16.5,71.1,4.7,0.0,No
2023-01-09,Monday,15:00-17:00,93,14.4,64.7,4.7,0.0,No
2023-01-09,Monday,17:00-19:00,29,16.2,53.7,4.7,0.0,No
