week_start_date,product_id,product_name,units_sold,gross_revenue_usd,returns,net_revenue_usd,promo_active,weather_score
2023-01-02,PROD001,Sourdough Loaf,141,1198.5,0,1198.5,No,9.3
2023-01-02,PROD002,Croissant,182,682.5,0,682.5,No,7.4
2023-01-02,PROD003,Cinnamon Roll,165,701.25,0,701.25,No,4.8
2023-01-02,PROD004,Baguette,168,588.0,0,588.0,No,7.2
2023-01-02,PROD005,Blueberry Muffin,188,611.0,0,611.0,No,4.6
2023-01-02,PROD006,Chocolate Éclair,95,451.25,0,451.25,No,5.1
2023-01-02,PROD007,Almond Tart,74,407.0,0,407.0,Yes,6.2
2023-01-02,PROD008,Focaccia,101,707.0,2,693.0,No,6.8
2023-01-02,PROD009,Pumpkin Pie Slice,37,185.0,0,185.0,No,5.2
2023-01-02,PROD010,Macaron (6-pack),50,475.0,0,475.0,No,9.1
2023-01-02,PROD011,Banana Bread Slice,120,360.0,0,360.0,No,4.1
2023-01-02,PROD012,Lemon Tart,60,315.0,0,315.0,No,7.8
2023-01-02,PROD013,Pretzel,226,621.5,0,621.5,No,8.9
2023-01-02,PROD014,Red Velvet Cupcake,95,427.5,1,423.0,No,4.5
2023-01-02,PROD015,Gingerbread Cookie,92,230.0,0,230.0,No,8.8
2023-01-09,PROD001,Sourdough Loaf,157,1334.5,0,1334.5,Yes,3.3
2023-01-09,PROD002,Croissant,191,716.25,0,716.25,No,7.0
2023-01-09,PROD003,Cinnamon Roll,185,786.25,0,786.25,No,6.4
2023-01-09,PROD004,Baguette,157,549.5,2,542.5,No,4.0
2023-01-09,PROD005,Blueberry Muffin,176,572.0,0,572.0,No,9.4
2023-01-09,PROD006,Chocolate Éclair,93,441.75,2,432.25,No,4.2
2023-01-09,PROD007,Almond Tart,58,319.0,0,319.0,No,3.4
2023-01-09,PROD008,Focaccia,80,560.0,0,560.0,No,8.0
2023-01-09,PROD009,Pumpkin Pie Slice,36,180.0,0,180.0,No,3.8
2023-01-09,PROD010,Macaron (6-pack),54,513.0,0,513.0,No,5.8
2023-01-09,PROD011,Banana Bread Slice,154,462.0,1,459.0,No,9.2
2023-01-09,PROD012,Lemon Tart,66,346.5,0,346.5,No,6.5
2023-01-09,PROD013,Pretzel,184,506.0,0,506.0,No,8.7
2023-01-09,PROD014,Red Velvet Cupcake,143,643.5,0,643.5,Yes,6.3
2023-01-09,PROD015,Gingerbread Cookie,99,247.5,0,247.5,No,6.0
2023-01-16,PROD001,Sourdough Loaf,117,994.5,2,977.5,No,5.8
2023-01-16,PROD002,Croissant,200,750.0,0,750.0,No,7.9
2023-01-16,PROD003,Cinnamon Roll,208,884.0,2,875.5,No,8.3
2023-01-16,PROD004,Baguette,139,486.5,0,486.5,No,3.1
2023-01-16,PROD005,Blueberry Muffin,224,728.0,0,728.0,Yes,7.6
2023-01-16,PROD006,Chocolate Éclair,83,394.25,0,394.25,No,7.1
2023-01-16,PROD007,Almond Tart,74,407.0,0,407.0,Yes,3.7
2023-01-16,PROD008,Focaccia,72,504.0,0,504.0,No,3.8
2023-01-16,PROD009,Pumpkin Pie Slice,37,185.0,0,185.0,No,4.3
2023-01-16,PROD010,Macaron (6-pack),71,674.5,0,674.5,Yes,6.4
2023-01-16,PROD011,Banana Bread Slice,155,465.0,0,465.0,No,5.7
2023-01-16,PROD012,Lemon Tart,63,330.75,0,330.75,No,8.1
2023-01-16,PROD013,Pretzel,208,572.0,0,572.0,No,8.1
2023-01-16,PROD014,Red Velvet Cupcake,73,328.5,0,328.5,No,4.0
2023-01-16,PROD015,Gingerbread Cookie,91,227.5,0,227.5,No,7.5
2023-01-23,PROD001,Sourdough Loaf,147,1249.5,0,1249.5,Yes,3.7
2023-01-23,PROD002,Croissant,222,832.5,0,832.5,No,9.2
2023-01-23,PROD003,Cinnamon Roll,179,760.75,0,760.75,No,7.2
2023-01-23,PROD004,Baguette,176,616.0,1,612.5,No,4.7
2023-01-23,PROD005,Blueberry Muffin,168,546.0,0,546.0,No,5.3
2023-01-23,PROD006,Chocolate Éclair,98,465.5,0,465.5,No,3.8
2023-01-23,PROD007,Almond Tart,69,379.5,0,379.5,Yes,7.2
2023-01-23,PROD008,Focaccia,86,602.0,0,602.0,No,9.2
2023-01-23,PROD009,Pumpkin Pie Slice,45,225.0,0,225.0,No,3.7
